   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
34,8.6.2015,16:55:26,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,132,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
35,8.6.2015,16:55:28,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,134,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
36,8.6.2015,16:55:30,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,136,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
37,8.6.2015,16:55:32,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,138,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
38,8.6.2015,16:55:34,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,140,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
39,8.6.2015,16:55:36,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,142,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
40,8.6.2015,16:55:38,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,144,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
41,8.6.2015,16:55:40,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,146,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
42,8.6.2015,16:55:42,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,148,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
43,8.6.2015,16:55:44,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,150,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
